SEED ,  SIZE ,  ALG ,  TYPE ,  CALLS ,  CMP ,     MOVE ,    TIME              ,
27 ,    5 ,     c ,    0 ,     1 ,     5 ,    0 ,    3         ,
27 ,    45 ,     c ,    0 ,     1 ,     45 ,    0 ,    10         ,
27 ,    85 ,     c ,    0 ,     1 ,     85 ,    0 ,    17         ,
27 ,    125 ,     c ,    0 ,     1 ,     125 ,    0 ,    24         ,
27 ,    165 ,     c ,    0 ,     1 ,     165 ,    0 ,    38         ,
27 ,    205 ,     c ,    0 ,     1 ,     205 ,    0 ,    37         ,
27 ,    245 ,     c ,    0 ,     1 ,     245 ,    0 ,    46         ,
27 ,    285 ,     c ,    0 ,     1 ,     285 ,    0 ,    52         ,
27 ,    325 ,     c ,    0 ,     1 ,     325 ,    0 ,    58         ,
27 ,    365 ,     c ,    0 ,     1 ,     365 ,    0 ,    64         ,
27 ,    405 ,     c ,    0 ,     1 ,     405 ,    0 ,    73         ,
27 ,    445 ,     c ,    0 ,     1 ,     445 ,    0 ,    79         ,
27 ,    485 ,     c ,    0 ,     1 ,     485 ,    0 ,    85         ,
27 ,    525 ,     c ,    0 ,     1 ,     525 ,    0 ,    93         ,
27 ,    565 ,     c ,    0 ,     1 ,     565 ,    0 ,    107         ,
27 ,    605 ,     c ,    0 ,     1 ,     605 ,    0 ,    110         ,
27 ,    645 ,     c ,    0 ,     1 ,     645 ,    0 ,    113         ,
27 ,    685 ,     c ,    0 ,     1 ,     685 ,    0 ,    121         ,
27 ,    725 ,     c ,    0 ,     1 ,     725 ,    0 ,    126         ,
27 ,    765 ,     c ,    0 ,     1 ,     765 ,    0 ,    140         ,
27 ,    805 ,     c ,    0 ,     1 ,     805 ,    0 ,    141         ,
27 ,    845 ,     c ,    0 ,     1 ,     845 ,    0 ,    150         ,
27 ,    885 ,     c ,    0 ,     1 ,     885 ,    0 ,    155         ,
27 ,    925 ,     c ,    0 ,     1 ,     925 ,    0 ,    167         ,
27 ,    965 ,     c ,    0 ,     1 ,     965 ,    0 ,    163         ,
27 ,    1005 ,     c ,    0 ,     1 ,     1005 ,    0 ,    172         ,
27 ,    1045 ,     c ,    0 ,     1 ,     1045 ,    0 ,    179         ,
27 ,    1085 ,     c ,    0 ,     1 ,     1085 ,    0 ,    188         ,
27 ,    1125 ,     c ,    0 ,     1 ,     1125 ,    0 ,    349         ,
27 ,    1165 ,     c ,    0 ,     1 ,     1165 ,    0 ,    198         ,
27 ,    1205 ,     c ,    0 ,     1 ,     1205 ,    0 ,    205         ,
27 ,    1245 ,     c ,    0 ,     1 ,     1245 ,    0 ,    217         ,
27 ,    1285 ,     c ,    0 ,     1 ,     1285 ,    0 ,    217         ,
27 ,    1325 ,     c ,    0 ,     1 ,     1325 ,    0 ,    225         ,
27 ,    1365 ,     c ,    0 ,     1 ,     1365 ,    0 ,    234         ,
